Target_index,Ping_index,Ping_date,Ping_time,Ping_milliseconds,Range,Depth
335,608,3/5/2019,10:12:51,633,4.259410861,4.438237683
336,609,3/5/2019,10:12:52,32,3.991347873,4.179381459
337,610,3/5/2019,10:12:52,432,3.637748856,3.8369687
338,610,3/5/2019,10:12:52,432,3.723099632,3.922207621
339,610,3/5/2019,10:12:52,432,3.808329888,4.006631901
340,611,3/5/2019,10:12:52,832,3.747732687,3.942158587
341,611,3/5/2019,10:12:52,832,3.954350209,4.153596786
342,611,3/5/2019,10:12:52,832,4.015789458,4.206082907
343,611,3/5/2019,10:12:52,832,4.149708617,4.340674934
344,612,3/5/2019,10:12:53,232,4.173774281,4.368871993
345,613,3/5/2019,10:12:53,633,3.528087475,3.709899258
346,613,3/5/2019,10:12:53,633,3.747507696,3.938448177
347,613,3/5/2019,10:12:53,633,3.893739113,4.093477924
348,613,3/5/2019,10:12:53,633,3.97908024,4.173610705
349,613,3/5/2019,10:12:53,633,4.210469771,4.403994096
350,613,3/5/2019,10:12:53,633,4.295772513,4.487176545
351,614,3/5/2019,10:12:54,33,3.320738387,3.513595494
352,614,3/5/2019,10:12:54,33,3.382117805,3.575161728
353,614,3/5/2019,10:12:54,33,3.771553107,3.964714441
354,615,3/5/2019,10:12:54,432,3.418556233,3.61681944
355,615,3/5/2019,10:12:54,432,3.503737073,3.702110947
356,615,3/5/2019,10:12:54,432,3.589220106,3.781109261
357,615,3/5/2019,10:12:54,432,3.820748893,4.005873499
358,616,3/5/2019,10:12:54,832,3.467128741,3.662652047
359,616,3/5/2019,10:12:54,832,3.625804148,3.822866137
360,618,3/5/2019,10:12:55,632,3.698418231,3.892720522
361,620,3/5/2019,10:12:56,432,3.783766264,3.980205313
362,620,3/5/2019,10:12:56,432,4.040222592,4.227985717
363,621,3/5/2019,10:12:56,833,3.613562528,3.798551753
364,621,3/5/2019,10:12:56,833,3.735129048,3.924547194
365,621,3/5/2019,10:12:56,833,4.064509884,4.257239618
366,622,3/5/2019,10:12:57,233,3.552422319,3.744420058
367,622,3/5/2019,10:12:57,233,3.759328471,3.956315766
368,623,3/5/2019,10:12:57,631,3.674461488,3.857021371
369,623,3/5/2019,10:12:57,631,3.796346498,3.993280569
370,624,3/5/2019,10:12:58,43,3.41834883,3.608364305
371,624,3/5/2019,10:12:58,43,3.82040887,4.007748562
372,624,3/5/2019,10:12:58,43,4.064340705,4.257723157
373,625,3/5/2019,10:12:58,439,3.45508842,3.648162109
374,625,3/5/2019,10:12:58,439,3.540341145,3.734315609
375,625,3/5/2019,10:12:58,439,3.991185853,4.170022608
376,625,3/5/2019,10:12:58,439,4.100800534,4.289863367
377,625,3/5/2019,10:12:58,439,4.186012561,4.374832549
378,626,3/5/2019,10:12:58,832,3.491409404,3.681121276
379,627,3/5/2019,10:12:59,232,3.552647781,3.732979059
380,628,3/5/2019,10:12:59,632,3.771911964,3.95513286
381,629,3/5/2019,10:13:00,32,3.808594812,3.999295781
382,629,3/5/2019,10:13:00,32,3.893834504,4.085715892
383,629,3/5/2019,10:13:00,32,4.052088106,4.242568879
384,630,3/5/2019,10:13:00,431,3.845297703,4.03774369
385,630,3/5/2019,10:13:00,431,3.930487395,4.125119899
386,631,3/5/2019,10:13:00,831,3.869154745,4.058776743
387,638,3/5/2019,10:13:03,632,4.088813772,4.273894271
388,639,3/5/2019,10:13:04,32,4.076389576,4.269490739
389,640,3/5/2019,10:13:04,432,4.113002258,4.310406023
390,641,3/5/2019,10:13:04,832,4.125156999,4.320286691
391,641,3/5/2019,10:13:04,832,4.186413192,4.377527296
392,644,3/5/2019,10:13:06,32,4.271827905,4.46447933
393,645,3/5/2019,10:13:06,432,4.222830738,4.420410327
394,646,3/5/2019,10:13:06,831,4.173889034,4.373563385
395,647,3/5/2019,10:13:07,233,4.125060322,4.323780475
396,648,3/5/2019,10:13:07,632,4.088927145,4.283608085
397,648,3/5/2019,10:13:07,632,4.161846923,4.3606876
398,649,3/5/2019,10:13:08,32,4.05225003,4.242620984
399,649,3/5/2019,10:13:08,32,4.113177735,4.309894587
400,649,3/5/2019,10:13:08,32,4.296125516,4.485985764
401,650,3/5/2019,10:13:08,443,4.027937046,4.212673793
402,650,3/5/2019,10:13:08,443,4.295967724,4.484248594
403,651,3/5/2019,10:13:08,832,4.015624076,4.192168787
404,651,3/5/2019,10:13:08,832,4.052329134,4.237932676
405,652,3/5/2019,10:13:09,233,3.808338911,3.994155892
406,652,3/5/2019,10:13:09,233,3.893639965,4.081281794
407,653,3/5/2019,10:13:09,632,3.808381057,4.001823196
408,653,3/5/2019,10:13:09,632,3.893658853,4.086294726
409,654,3/5/2019,10:13:10,32,3.82054107,4.013216443
410,654,3/5/2019,10:13:10,32,3.905848033,4.099031296
411,655,3/5/2019,10:13:10,433,3.942475563,4.130073139
412,675,3/5/2019,10:13:18,432,3.796005504,3.984843561
413,675,3/5/2019,10:13:18,432,3.954808918,4.144391297
414,677,3/5/2019,10:13:19,232,3.796531522,3.991425591
415,678,3/5/2019,10:13:19,632,3.674443106,3.861385741
416,679,3/5/2019,10:13:20,31,3.613415834,3.793652937
417,680,3/5/2019,10:13:20,432,3.723122859,3.914384045
418,681,3/5/2019,10:13:20,832,3.930256615,4.115907496
419,681,3/5/2019,10:13:20,832,4.283930712,4.470944592
420,682,3/5/2019,10:13:21,232,3.528416553,3.716330793
421,682,3/5/2019,10:13:21,232,3.869291713,4.064699455
422,682,3/5/2019,10:13:21,232,4.235094971,4.430324715
423,683,3/5/2019,10:13:21,633,3.820580585,4.017838743
424,685,3/5/2019,10:13:22,432,4.271503315,4.466459268
425,686,3/5/2019,10:13:22,832,3.674297244,3.869212288
426,686,3/5/2019,10:13:22,832,3.979194684,4.165363789
427,686,3/5/2019,10:13:22,832,4.088558362,4.283879738
428,686,3/5/2019,10:13:22,832,4.234963603,4.426722112
429,687,3/5/2019,10:13:23,232,3.686662782,3.880365402
430,687,3/5/2019,10:13:23,232,4.101099807,4.300293407
431,687,3/5/2019,10:13:23,232,4.247301195,4.44404522
432,688,3/5/2019,10:13:23,632,4.113526281,4.313256169
433,688,3/5/2019,10:13:23,632,4.247024244,4.444197811
434,689,3/5/2019,10:13:24,32,4.039871549,4.23673757
435,689,3/5/2019,10:13:24,32,4.125171001,4.319388474
436,689,3/5/2019,10:13:24,32,4.271780607,4.466588489
437,690,3/5/2019,10:13:24,433,3.881552946,4.070987062
438,690,3/5/2019,10:13:24,433,4.149713361,4.335921163
439,690,3/5/2019,10:13:24,433,4.247073755,4.441446311
440,691,3/5/2019,10:13:24,832,3.747689549,3.934885019
441,691,3/5/2019,10:13:24,832,4.174062767,4.356620949
442,692,3/5/2019,10:13:25,232,3.796436561,3.983238852
443,692,3/5/2019,10:13:25,232,4.027927088,4.227245399
444,693,3/5/2019,10:13:25,633,4.088815256,4.286463506
